HS_ENSG,Gene/Locus MIM number,Phenotype and Phenotype MIM number
ENSG00000113318,600887,"Endometrial carcinoma, somatic, 608089 | Familial adenomatous polyposis 4, 617100"
ENSG00000278570,604485,"Enhanced S-cone syndrome, 268100 | Retinitis pigmentosa 37, 611131"
ENSG00000168269,601093,"Enlarged vestibular aqueduct, 600791"
ENSG00000177807,602208,"Enlarged vestibular aqueduct, digenic, 600791 | SESAME syndrome, 612780"
ENSG00000074800,172430,Enolase deficiency
ENSG00000154646,606635,"Enterokinase deficiency, 226200"
ENSG00000121053,131399,"Eosinophil peroxidase deficiency, 261500"
ENSG00000141524,605828,"Epidermodysplasia verruciformis, 226400"
ENSG00000167895,605829,"Epidermodysplasia verruciformis, 226400"
ENSG00000132470,147557,"Epidermolysis bullosa of hands and feet, 131800 | Epidermolysis bullosa, junctional, non-Herlitz type, 226650 | Epidermolysis bullosa, junctional, with pyloric atresia, 226730"
ENSG00000178209,601282,"Epidermolysis bullosa simplex with nail dystrophy, 616487 | Epidermolysis bullosa simplex with muscular dystrophy, 226670 | Epidermolysis bullosa simplex with pyloric atresia, 612138 | Epidermolysis bullosa simplex, Ogna type, 131950 | Muscular dystrophy, limb-girdle, type 2Q, 613723"
ENSG00000114796,611295,"Epidermolysis bullosa simplex, generalized, with scarring and hair loss, 617294"
ENSG00000053747,600805,"Epidermolysis bullosa, generalized atrophic benign, 226650 | Epidermolysis bullosa, junctional, Herlitz type, 226700 | Laryngoonychocutaneous syndrome, 245660"
ENSG00000058085,150292,"Epidermolysis bullosa, junctional, Herlitz type, 226700 | Epidermolysis bullosa, junctional, non-Herlitz type, 226650"
ENSG00000065618,113811,"Epidermolysis bullosa, junctional, localisata variant, 226650 | Epidermolysis bullosa, junctional, non-Herlitz type, 226650 | Epithelial recurrent erosion dystrophy, 122400"
ENSG00000091409,147556,"Epidermolysis bullosa, junctional, with pyloric stenosis, 226730"
ENSG00000110723,612878,"Epidermolysis bullosa, nonspecific, autosomal recessive, 615028"
ENSG00000167768,139350,"Epidermolytic hyperkeratosis, 113800 | Ichthyosis histrix, Curth-Macklin type, 146590 | Ichthyosis, cyclic, with epidermolytic hyperkeratosis, 607602 | Keratosis palmoplantaris striata III, 607654 | Palmoplantar keratoderma, epidermolytic, 144200 | Palmoplantar keratoderma, nonepidermolytic, 600962"
ENSG00000186395,148080,"Epidermolytic hyperkeratosis, 113800 | Ichthyosis with confetti, 609165 | Ichthyosis, cyclic, with epidermolytic hyperkeratosis, 607602"
ENSG00000147471,604436,"Epilepsy, early-onset, vitamin B6-dependent, 617290"
ENSG00000100150,614191,"Epilepsy, familial focal, with variable foci 1, 604364"
ENSG00000114388,607072,"Epilepsy, familial focal, with variable foci 2, 617116"
ENSG00000103148,600928,"Epilepsy, familial focal, with variable foci 3, 617118"
ENSG00000108231,604619,"Epilepsy, familial temporal lobe, 1, 600512"
ENSG00000165078,609562,"Epilepsy, familial temporal lobe, 5, 614417 | Febrile seizures, familial, 11, 614418"
ENSG00000069482,137035,"Epilepsy, familial temporal lobe, 8, 616461"
ENSG00000183454,138253,"Epilepsy, focal, with speech disorder and with or without mental retardation, 245570"
ENSG00000144285,182389,"Epilepsy, generalized, with febrile seizures plus, type 2, 604403 | Epileptic encephalopathy, early infantile, 6 (Dravet syndrome), 607208 | Febrile seizures, familial, 3A, 604403 | Migraine, familial hemiplegic, 3, 609634"
ENSG00000113327,137164,"Epilepsy, generalized, with febrile seizures plus, type 3, 611277 | Febrile seizures, familial, 8, 611277 | Epilepsy, childhood absence, susceptibility to, 2, 607681"
ENSG00000187730,137163,"Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to, 613060 | Epilepsy, idiopathic generalized, 10, 613060 | Epilepsy, juvenile myoclonic, susceptibility to, 613060"
ENSG00000169432,603415,"Epilepsy, generalized, with febrile seizures plus, type 7, 613863 | Erythermalgia, primary, 133020 | Febrile seizures, familial, 3B, 613863 | HSAN2D, autosomal recessive, 243000 | Insensitivity to pain, congenital, 243000 | Paroxysmal extreme pain disorder, 167400, | Small fiber neuropathy, 133020 | Dravet syndrome, modifier of, 607208"
ENSG00000145375,613940,"Epilepsy, hearing loss, and mental retardation syndrome, 616577"
ENSG00000096093,608815,"Epilepsy, juvenile absence, susceptibility to, 1, 607631 | Myoclonic epilepsy, juvenile, susceptibility to, 1, 254770"
ENSG00000274286,104260,"Epilepsy, myoclonic, familial adult, 2, 607876"
ENSG00000184144,190197,"Epilepsy, myoclonic, familial adult, 5, 615400"
ENSG00000101204,118504,"Epilepsy, nocturnal frontal lobe, 1, 600513 | Nicotine addiction, susceptibility to, 188890"
ENSG00000160716,118507,"Epilepsy, nocturnal frontal lobe, 3, 605375"
ENSG00000107147,608167,"Epilepsy, nocturnal frontal lobe, 5, 615005 | Epileptic encephalopathy, early infantile, 14, 614959"
ENSG00000120903,118502,"Epilepsy, nocturnal frontal lobe, type 4, 610353"
ENSG00000160213,601145,"Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg), 254800"
ENSG00000139174,608500,"Epilepsy, progressive myoclonic 1B, 612437"
ENSG00000112425,607566,"Epilepsy, progressive myoclonic 2A (Lafora), 254780"
ENSG00000187566,608072,"Epilepsy, progressive myoclonic 2B (Lafora), 254780"
ENSG00000243335,611725,"Epilepsy, progressive myoclonic 3, with or without intracellular inclusions, 611726"
ENSG00000138760,602257,"Epilepsy, progressive myoclonic 4, with or without renal failure, 254900"
ENSG00000108433,604027,"Epilepsy, progressive myoclonic 6, 614018"
ENSG00000129159,176258,"Epilepsy, progressive myoclonic 7, 616187"
ENSG00000152784,616639,"Epilepsy, progressive myoclonic, 10, 616640"
ENSG00000176619,150341,"Epilepsy, progressive myoclonic, 9, 616540 | Lipodystrophy, partial, acquired, susceptibility to, 608709"
ENSG00000164904,107323,"Epilepsy, pyridoxine-dependent, 266100"
ENSG00000008056,313440,"Epilepsy, X-linked, with variable learning disabilities and behavior disorders, 300491"
ENSG00000173575,602119,"Epileptic encephalopathy, childhood-onset, 615369"
ENSG00000004848,300382,"Epileptic encephalopathy, early infantile, 1, 308350 | Hydranencephaly with abnormal genitalia, 300215 | Lissencephaly, X-linked 2, 300215 | Mental retardation, X-linked 29 and others, 300419 | Partington syndrome, 309510 | Proud syndrome, 300004"
ENSG00000136531,182390,"Epileptic encephalopathy, early infantile, 11, 613721 | Seizures, benign familial infantile, 3, 607745"
ENSG00000182621,607120,"Epileptic encephalopathy, early infantile, 12, 613722"
ENSG00000126091,606494,"Epileptic encephalopathy, early infantile, 15, 615006 | Mental retardation, autosomal recessive 12, 611090"
ENSG00000087258,139311,"Epileptic encephalopathy, early infantile, 17, 615473 | Neurodevelopmental disorder with involuntary movements, 617493"
ENSG00000198198,615463,"Epileptic encephalopathy, early infantile, 18, 615476"
ENSG00000022355,137160,"Epileptic encephalopathy, early infantile, 19, 615744 | Epilepsy, childhood absence, susceptibility to, 4, 611136 | Epilepsy, juvenile myoclonic, susceptibility to, 5, 611136"
ENSG00000008086,300203,"Epileptic encephalopathy, early infantile, 2, 300672"
ENSG00000089818,611623,"Epileptic encephalopathy, early infantile, 21, 615833"
ENSG00000116641,615730,"Epileptic encephalopathy, early infantile, 23, 615859"
ENSG00000164588,602780,"Epileptic encephalopathy, early infantile, 24, 615871"
ENSG00000141485,608305,"Epileptic encephalopathy, early infantile, 25, 615905"
ENSG00000158445,600397,"Epileptic encephalopathy, early infantile, 26, 616056"
ENSG00000273079,138252,"Epileptic encephalopathy, early infantile, 27, 616139 | Mental retardation, autosomal dominant 6, 613970"
ENSG00000186153,605131,"Epileptic encephalopathy, early infantile, 28, 616211 | Esophageal squamous cell carcinoma, somatic, 133239 | Spinocerebellar ataxia, autosomal recessive 12, 614322"
ENSG00000177542,609302,"Epileptic encephalopathy, early infantile, 3, 609304"
ENSG00000142178,605705,"Epileptic encephalopathy, early infantile, 30, 616341"
ENSG00000106976,602377,"Epileptic encephalopathy, early infantile, 31, 616346"
ENSG00000177301,176262,"Epileptic encephalopathy, early infantile, 32, 616366"
ENSG00000101210,602959,"Epileptic encephalopathy, early infantile, 33, 616409 | Mental retardation, autosomal dominant 38, 616393"
ENSG00000124140,606726,"Epileptic encephalopathy, early infantile, 34, 616645 | Epilepsy, idiopathic generalized, susceptibility to, 14, 616685"
ENSG00000125877,147520,"Epileptic encephalopathy, early infantile, 35, 616647 | Inosine triphosphatase deficiency, 613850"
ENSG00000260230,604574,"Epileptic encephalopathy, early infantile, 37, 616981"
ENSG00000173409,611647,"Epileptic encephalopathy, early infantile, 38, 617020"
ENSG00000115840,603667,"Epileptic encephalopathy, early infantile, 39, 612949"
ENSG00000136854,602926,"Epileptic encephalopathy, early infantile, 4, 612164"
ENSG00000151806,617064,"Epileptic encephalopathy, early infantile, 40, 617065"
ENSG00000110436,600300,"Epileptic encephalopathy, early infantile, 41, 617105"
ENSG00000141837,601011,"Epileptic encephalopathy, early infantile, 42, 617106 | Episodic ataxia, type 2, 108500 | Migraine, familial hemiplegic, 1, 141500 | Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, 141500 | Spinocerebellar ataxia 6, 183086"
ENSG00000166206,137192,"Epileptic encephalopathy, early infantile, 43, 617113 | Epilepsy, childhood absence, susceptibility to, 5, 612269"
ENSG00000163288,137190,"Epileptic encephalopathy, early infantile, 45, 617153"
ENSG00000105464,602717,"Epileptic encephalopathy, early infantile, 46, 617162"
ENSG00000114279,601513,"Epileptic encephalopathy, early infantile, 47, 617166"
ENSG00000103723,602166,"Epileptic encephalopathy, early infantile, 48, 617276"
ENSG00000184014,617278,"Epileptic encephalopathy, early infantile, 49, 617281"
ENSG00000197694,182810,"Epileptic encephalopathy, early infantile, 5, 613477"
ENSG00000084774,114010,"Epileptic encephalopathy, early infantile, 50, 616457"
ENSG00000146701,154100,"Epileptic encephalopathy, early infantile, 51, 617339"
ENSG00000159082,604297,"Epileptic encephalopathy, early infantile, 53, 617389 | Parkinson disease 20, early-onset, 615530"
ENSG00000153187,602869,"Epileptic encephalopathy, early infantile, 54, 617391"
ENSG00000185808,605938,"Epileptic encephalopathy, early infantile, 55, 617599"
ENSG00000170027,605356,"Epileptic encephalopathy, early infantile, 56, 617665"
ENSG00000162687,610044,"Epileptic encephalopathy, early infantile, 57, 617771"
ENSG00000075043,602235,"Epileptic encephalopathy, early infantile, 7, 613720 | Myokymia, 121200 | Seizures, benign neonatal, 1, 121200"
ENSG00000131089,300429,"Epileptic encephalopathy, early infantile, 8, 300607"
ENSG00000165194,300460,"Epileptic encephalopathy, early infantile, 9, 300088"
ENSG00000138814,114105,"Epileptic encephalopathy, infantile or early childhood, 617711"
ENSG00000105664,600310,"Epiphyseal dysplasia, multiple, 1, 132400 | Pseudoachondroplasia, 177170"
ENSG00000092758,120270,"Epiphyseal dysplasia, multiple, 3, with or without myopathy, 600969 | Intervertebral disc disease, susceptibility to, 603932"
ENSG00000132031,602109,"Epiphyseal dysplasia, multiple, 5, 607078 | Spondyloepimetaphyseal dysplasia, 608728 | Osteoarthritis susceptibility 2, 140600"
ENSG00000112280,120210,"Epiphyseal dysplasia, multiple, 6, 614135 | Stickler syndrome, type IV, 614134"
ENSG00000182389,601949,"Episodic ataxia, type 5, 613855 | Epilepsy, idiopathic generalized, susceptibility to, 9, 607682 | Epilepsy, juvenile myoclonic, susceptibility to, 6, 607682"
ENSG00000079215,600111,"Episodic ataxia, type 6, 612656"
ENSG00000111262,176260,"Episodic ataxia/myokymia syndrome, 160120"
ENSG00000104321,604775,"Episodic pain syndrome, familial, 1, 615040"
ENSG00000185313,604427,"Episodic pain syndrome, familial, 2, 615551"
ENSG00000168356,604385,"Episodic pain syndrome, familial, 3, 615552 | Neuropathy, hereditary sensory and autonomic, type VII, 615548"
ENSG00000206172,141800,"Erythremias, alpha- | Heinz body anemias, alpha-, 140700 | Hemoglobin H disease, nondeletional, 613978 | Methemoglobinemias, alpha- | Thalassemias, alpha-, 604131"
ENSG00000155380,600682,"Erythrocyte lactate transporter defect, 245340 | Hyperinsulinemic hypoglycemia, familial, 7, 610021 | Monocarboxylate transporter 1 deficiency, 616095"
ENSG00000188536,141850,"Erythrocytosis | Heinz body anemia, 140700 | Hemoglobin H disease, nondeletional, 613978 | Hypochromic microcytic anemia | Thalassemia, alpha-, 604131"
ENSG00000172331,613896,"Erythrocytosis due to bisphosphoglycerate mutase deficiency, 222800"
ENSG00000187266,133171,"Erythrocytosis, familial, 1, 133100"
ENSG00000134086,608537,"Erythrocytosis, familial, 2, 263400 | Hemangioblastoma, cerebellar, somatic | Pheochromocytoma, 171300 | Renal cell carcinoma, somatic, 144700 | von Hippel-Lindau syndrome, 193300"
ENSG00000135766,606425,"Erythrocytosis, familial, 3, 609820 | Hemoglobin, high altitude adaptation, 609070"
ENSG00000116016,603349,"Erythrocytosis, familial, 4, 611783"
ENSG00000096968,147796,"Erythrocytosis, somatic, 133100 | Leukemia, acute myeloid, somatic, 601626 | Myelofibrosis, somatic, 254450 | Polycythemia vera, somatic, 263300 | Thrombocythemia 3, 614521 | Budd-Chiari syndrome, somatic, 600880"
ENSG00000111252,605093,"Erythrocytosis, somatic, 133100 | Myelofibrosis, somatic, 254450 | Thrombocythemia, somatic, 187950"
ENSG00000134760,125670,"Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper IgE, 615508 | Keratosis palmoplantaris striata I, AD, 148700"
ENSG00000189433,605425,"Erythrokeratodermia variabilis et progressiva 2, 617524"
ENSG00000119537,136440,"Erythrokeratodermia variabilis et progressiva 4, 617526"
ENSG00000170523,602765,"Erythrokeratodermia variabilis et progressiva 5, 617756 | Monilethrix, 158000"
ENSG00000196811,100730,"Escobar syndrome, 265000 | Multiple pterygium syndrome, lethal type, 253290"
ENSG00000008226,604050,"Esophageal cancer, 133239 | Lung cancer, 211980"
ENSG00000127870,604242,"Esophageal carcinoma, somatic, 133239"
ENSG00000173077,604767,"Esophageal squamous cell carcinoma, 133239"
ENSG00000061337,606551,"Esophageal squamous cell carcinoma, 133239"
ENSG00000151577,126451,"Essential tremor, hereditary, 1, 190300 | Schizophrenia, susceptibility to, 181500"
ENSG00000149256,610084,"Essential tremor, hereditary, 5, 616736"
ENSG00000091831,133430,"Estrogen resistance, 615363 | Atherosclerosis, susceptibility to | Breast cancer, 114480 | HDL response to hormone replacement, augmented | Migraine, susceptibility to, 157300 | Myocardial infarction, susceptibility to, 608446"
ENSG00000105755,608451,"Ethylmalonic encephalopathy, 602473"
ENSG00000182944,133450,"Ewing sarcoma, 612219 | Neuroepithelioma, 612219"
ENSG00000164933,610815,"Exercise intolerance, riboflavin-responsive, 616839"
ENSG00000129038,153456,"Exfoliation syndrome, susceptibility to, 177650"
ENSG00000131055,607976,"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis, 612714"
ENSG00000174804,604579,"Exudative vitreoretinopathy 1, 133780 | Retinopathy of prematurity, 133780"
ENSG00000124479,300658,"Exudative vitreoretinopathy 2, X-linked, 305390 | Norrie disease, 310600"
ENSG00000162337,603506,"Exudative vitreoretinopathy 4, 601813 | Hyperostosis, endosteal, 144750 | Osteopetrosis, autosomal dominant 1, 607634 | Osteoporosis-pseudoglioma syndrome, 259770 | Osteosclerosis, 144750 | Bone mineral density variability 1, 601884 | van Buchem disease, type 2, 607636 | Osteoporosis, 166710"
ENSG00000106025,613138,"Exudative vitreoretinopathy 5, 613310"
ENSG00000175213,616454,"Exudative vitreoretinopathy 6, 616468 | Retinitis pigmentosa 72, 616469"
ENSG00000015520,608010,"Ezetimibe, nonresponse to"
ENSG00000102393,300644,"Fabry disease, 301500 | Fabry disease, cardiac variant, 301500"
ENSG00000100014,614140,"Facial clefting, oblique, 1, 600251 | Opitz GBBB syndrome, type II, 145410"
ENSG00000176014,615103,"Facial palsy, congenitla, with ptosis and velopharyngeal dysfunction, 617732"
ENSG00000120094,142968,"Facial paresis, hereditary congenital, 3, 614744"
ENSG00000180398,607788,"Factor V and factor VIII, combined deficiency of, 613625"
ENSG00000198734,612309,"Factor V deficiency, 227400 | Thrombophilia due to activated protein C resistance, 188055 | Budd-Chiari syndrome, 600880 | Pregnancy loss, recurrent, susceptibility to, 1, 614389 | Stroke, ischemic, susceptibility to, 601367 | Thrombophilia, susceptibility to, due to factor V Leiden, 188055"
ENSG00000057593,613878,"Factor VII deficiency, 227500 | Myocardial infarction, decreased susceptibility to, 608446"
ENSG00000126218,613872,"Factor X deficiency, 227600"
ENSG00000088926,264900,"Factor XI deficiency, autosomal dominant, 612416 | Factor XI deficiency, autosomal recessive, 612416"
ENSG00000124491,134570,"Factor XIIIA deficiency, 613225 | Myocardial infarction, protection against, 608446 | Venous thrombosis, protection against, 188050"
ENSG00000143278,134580,"Factor XIIIB deficiency, 613235"
ENSG00000065057,602656,"Familial adenomatous polyposis 3, 616415"
ENSG00000142405,609648,"Familial cold autoinflammatory syndrome 2, 611762"
ENSG00000091106,606831,"Familial cold autoinflammatory syndrome 4, 616115 | Autoinflammation with infantile enterocolitis, 616050"
ENSG00000103313,608107,"Familial Mediterranean fever, AD, 134610 | Familial Mediterranean fever, AR, 249100"
ENSG00000187741,607139,"Fanconi anemia, complementation group A, 227650"
ENSG00000181544,300515,"Fanconi anemia, complementation group B, 300514"
ENSG00000158169,613899,"Fanconi anemia, complementation group C, 227645"
ENSG00000139618,600185,"Fanconi anemia, complementation group D1, 605724 | Wilms tumor, 194070 | Breast cancer, male, susceptibility to, 114480 | Breast-ovarian cancer, familial, 2, 612555 | Glioblastoma 3, 613029 | Medulloblastoma, 155255 | Pancreatic cancer 2, 613347 | Prostate cancer, 176807"
ENSG00000144554,613984,"Fanconi anemia, complementation group D2, 227646"
ENSG00000112039,613976,"Fanconi anemia, complementation group E, 600901"
ENSG00000183161,613897,"Fanconi anemia, complementation group F, 603467"
ENSG00000221829,602956,"Fanconi anemia, complementation group G, 614082"
ENSG00000140525,611360,"Fanconi anemia, complementation group I, 609053"
ENSG00000115392,608111,"Fanconi anemia, complementation group L, 614083"
ENSG00000083093,610355,"Fanconi anemia, complementation group N, 610832 | Breast cancer, susceptibility to, 114480 | Pancreatic cancer, susceptibility to, 3, 613348"
ENSG00000108384,602774,"Fanconi anemia, complementation group O, 613390 | Breast-ovarian cancer, familial, susceptibility to, 3, 613399"
ENSG00000188827,613278,"Fanconi anemia, complementation group P, 613951"
ENSG00000051180,179617,"Fanconi anemia, complementation group R, 617244 | Mirror movements 2, 614508 | Breast cancer, susceptibility to, 114480"
ENSG00000077152,610538,"Fanconi anemia, complementation group T, 616435"
ENSG00000196584,600375,"Fanconi anemia, complementation group U, 617247"
ENSG00000116670,604094,"Fanconi anemia, complementation group V, 617243"
ENSG00000168411,614151,"Fanconi anemia, complementation group W, 617784"
ENSG00000131183,182309,"Fanconi renotubular syndrome 2, 613388 | Hypercalcemia, infantile, 2, 616963 | Nephrolithiasis/osteoporosis, hypophosphatemic, 1, 612286"
ENSG00000113790,607037,"Fanconi renotubular syndrome 3, 615605"
ENSG00000101076,600281,"Fanconi renotubular syndrome 4, with maturity-onset diabetes of the young, 616026 | MODY, type I, 125850 | Diabetes mellitus, noninsulin-dependent, 125853"
ENSG00000163581,138160,"Fanconi-Bickel syndrome, 227810 | Diabetes mellitus, noninsulin-dependent, 125853"
ENSG00000104763,613468,"Farber lipogranulomatosis, 228000 | Spinal muscular atrophy with progressive myoclonic epilepsy, 159950"
ENSG00000084734,600842,"Fasting plasma glucose level QTL 5, 613463"
ENSG00000084754,600890,"Fatty liver, acute, of pregnancy, 609016 | HELLP syndrome, maternal, of pregnancy, 609016 | LCHAD deficiency, 609016 | Trifunctional protein deficiency, 609015"
ENSG00000101276,613350,"Fazio-Londe disease, 211500 | Brown-Vialetto-Van Laere syndrome 1, 211530"
ENSG00000164199,602851,"Febrile seizures, familial, 4, 604352 | Usher syndrome, type 2C, 605472 | Usher syndrome, type 2C, GPR98/PDZD7 digenic, 605472"
ENSG00000134323,164840,"Feingold syndrome 1, 164280"
ENSG00000215417,609415,"Feingold syndrome 2, 614326"
ENSG00000175920,610285,"Fetal akinesia deformation sequence, 208150 | Myasthenic syndrome, congenital, 10, 254300"
ENSG00000165917,601592,"Fetal akinesia deformation sequence, 208150 | Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency, 616326"
ENSG00000030304,601296,"Fetal akinesia deformation sequence, 208150 | Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency, 616325"
ENSG00000213934,142200,"Fetal hemoglobin quantitative trait locus 1, 141749"
ENSG00000147044,300172,"FG syndrome 4, 300422 | Mental retardation and microcephaly with pontine and cerebellar hypoplasia, 300749 | Mental retardation, with or without nystagmus, 300422"
ENSG00000060718,120280,"Fibrochondrogenesis 1, 228520 | Marshall syndrome, 154780 | Stickler syndrome, type II, 604841 | Lumbar disc herniation, susceptibility to, 603932"
ENSG00000115170,102576,"Fibrodysplasia ossificans progressiva, 135100"
ENSG00000115904,182530,"Fibromatosis, gingival, 1, 135300 | Noonan syndrome 4, 610733"
ENSG00000084093,600571,"Fibromatosis, gingival, 5, 617626 | Wilms tumor 6, susceptibility to, 616806"
ENSG00000139116,608283,"Fibrosis of extraocular muscles, congenital, 1, 135700 | Fibrosis of extraocular muscles, congenital, 3B, 135700"
ENSG00000165462,602753,"Fibrosis of extraocular muscles, congenital, 2, 602078"
ENSG00000188517,610004,"Fibrosis of extraocular muscles, congenital, 5, 616219"
ENSG00000169607,616174,"Filippi syndrome, 272440"
ENSG00000177084,174762,"FILS syndrome, 615139 | Colorectal cancer, susceptibility to, 12, 615083"
ENSG00000213398,606967,"Fish-eye disease, 136120 | Norum disease, 245900"
ENSG00000127472,601192,"Fleck retina, familial benign, 228980"
ENSG00000164344,229000,"Fletcher factor (prekallikrein) deficiency, 612423"
ENSG00000080603,611421,"Floating-Harbor syndrome, 136140"
ENSG00000165699,605284,"Focal cortical dysplasia, type II, somatic, 607341 | Lymphangioleiomyomatosis, 606690 | Tuberous sclerosis-1, 191100"
ENSG00000103197,191092,"Focal cortical dysplasia, type II, somatic, 607341 | Lymphangioleiomyomatosis, somatic, 606690 | Tuberous sclerosis-2, 613254"
ENSG00000198793,601231,"Focal cortical dysplasia, type II, somatic, 607341 | Smith-Kingsmore syndrome, 616638"
ENSG00000102312,300651,"Focal dermal hypoplasia, 305600"
ENSG00000187553,608428,"Focal facial dermal dysplasia 4, 614974"
ENSG00000011426,616027,"Focal segmental glomerulosclerosis 8, 616032"
ENSG00000148204,609720,"Focal segmental glomerulosclerosis 9, 616220 | Ventriculomegaly with cystic kidney disease, 219730"
ENSG00000076351,611672,"Folate malabsorption, hereditary, 229050"
ENSG00000241186,187395,Forebrain defects
ENSG00000166558,615585,"Foveal hypoplasia 2, with or without optic nerve misrouting and/or anterior segment dysgenesis, 609218"
ENSG00000102081,309550,"Fragile X syndrome, 300624 | Fragile X tremor/ataxia syndrome, 300623 | Premature ovarian failure 1, 311360"
ENSG00000174705,613293,"Frank-ter Haar syndrome, 249420"
ENSG00000138759,607830,"Fraser syndrome 1, 219000"
ENSG00000150893,608945,"Fraser syndrome 2, 617666"
ENSG00000155974,604597,"Fraser syndrome 3, 617667"
ENSG00000165060,606829,"Friedreich ataxia with retained reflexes, 229300 | Friedreich ataxia, 229300"
ENSG00000156150,606014,"Frontonasal dysplasia 1, 136760"
ENSG00000052850,605420,"Frontonasal dysplasia 2, 613451 | Parietal foramina 2, 609597 | Craniosynostosis 5, susceptibility to, 615529"
ENSG00000180318,601527,"Frontonasal dysplasia 3, 613456"
ENSG00000147894,614260,"Frontotemporal dementia and/or amyotrophic lateral sclerosis 1, 105550"
ENSG00000161011,601530,"Frontotemporal dementia and/or amyotrophic lateral sclerosis 3, 616437 | Myopathy, distal, with rimmed vacuoles, 617158 | Neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset, 617145 | Paget disease of bone 3, 167250"
ENSG00000183735,604834,"Frontotemporal dementia and/or amyotrophic lateral sclerosis 4, 616439"
ENSG00000136872,612724,"Fructose intolerance, hereditary, 229600"
ENSG00000165140,611570,"Fructose-1,6-bisphosphatase deficiency, 229700"
ENSG00000138030,614058,"Fructosuria, 229800"
ENSG00000179163,612280,"Fucosidosis, 230000"
ENSG00000156413,136836,"Fucosyltransferase 6 deficiency, 613852"
ENSG00000154764,601570,"Fuhrmann syndrome, 228930 | Ulna and fibula, absence of, with severe limb deficiency, 276820"
ENSG00000091483,136850,"Fumarase deficiency, 606812 | Leiomyomatosis and renal cell cancer, 150800"
ENSG00000135437,601617,"Fundus albipunctatus, 136880"
ENSG00000183044,137150,"GABA-transaminase deficiency, 613163"
ENSG00000100811,600013,"Gabriele-de Vries syndrome, 617557"
ENSG00000108479,604313,"Galactokinase deficiency with cataracts, 230200"
ENSG00000117308,606953,"Galactose epimerase deficiency, 230350"
ENSG00000213930,606999,"Galactosemia, 230400"
ENSG00000064601,613111,"Galactosialidosis, 256540"
ENSG00000177082,616144,"Galloway-Mowat syndrome 1, 251300"
ENSG00000196976,300060,"Galloway-Mowat syndrome 2, X-linked, 301006"
ENSG00000092094,610107,"Galloway-Mowat syndrome 3, 617729"
ENSG00000172315,608679,"Galloway-Mowat syndrome 4, 617730"
ENSG00000144034,608680,"Galloway-Mowat syndrome 5, 617731"
ENSG00000100031,137181 612346,"Gamma-glutamyltransferase, familial high serum | Glutathioninuria, 231950"
ENSG00000169604,606410,"GAPO syndrome, 230740 |  Hemangioma, capillary infantile, susceptibility to, 602089"
ENSG00000125538,147720,"Gastric cancer risk after H. pylori infection, 137215"
ENSG00000125347,147575,"Gastric cancer, somatic, 613659 | Myelodysplastic syndrome, preleukemic | Myelogenous leukemia, acute | Nonsmall cell lung cancer, somatic, 211980"
ENSG00000067082,602053,"Gastric cancer, somatic, 613659 | Prostate cancer, somatic, 176807"
ENSG00000068724,609332,"Gastrointestinal defects and immunodeficiency syndrome, 243150"
ENSG00000143252,602413,"Gastrointestinal stromal tumor, 606764 | Paraganglioma and gastric stromal sarcoma, 606864 | Paragangliomas 3, 605373"
ENSG00000157404,164920,"Gastrointestinal stromal tumor, familial, 606764 | Germ cell tumors, somatic, 273300 | Leukemia, acute myeloid, 601626 | Mast cell disease, 154800 | Piebaldism, 172800"
ENSG00000134853,173490,"Gastrointestinal stromal tumor, somatic, 606764 | Hypereosinophilic syndrome, idiopathic, resistant to imatinib, 607685"
ENSG00000177628,606463,"Gaucher disease, perinatal lethal, 608013 | Gaucher disease, type I, 230800 | Gaucher disease, type II, 230900 | Gaucher disease, type III, 231000 | Gaucher disease, type IIIC, 231005 | Lewy body dementia, susceptibility to, 127750 | Parkinson disease, late-onset, susceptibility to, 168600"
ENSG00000154134,608630,"Gaze palsy, familial horizontal, with progressive scoliosis, 1, 607313"
ENSG00000197859,612277,"Geleophysic dysplasia 1, 231050"
ENSG00000099365,601485,"Generalized epilepsy with febrile seizures plus, type 9, 616172"
ENSG00000156650,605880,"Genitopatellar syndrome, 606170 | SBBYSS syndrome, 603736"
ENSG00000120370,607983,"Geroderma osteodysplasticum, 231070"
ENSG00000132716,615820,"Giant axonal neuropathy 2, autosomal dominant, 610100"
ENSG00000261609,605379,"Giant axonal neuropathy-1, 256850"
ENSG00000140287,142704,"Gilles de la Tourette syndrome, susceptibility to, 137580"
ENSG00000150995,147265,"Gillespie syndrome, 206700 | Spinocerebellar ataxia 15, 606658 | Spinocerebellar ataxia 29, congenital nonprogressive, 117360"
ENSG00000070915,600968,"Gitelman syndrome, 263800"
ENSG00000119042,608148,"Glass syndrome, 612313"
ENSG00000225950,162662,"Glaucoma 1, open angle, 1O, 613100"
ENSG00000146926,615054,"Glaucoma 1, open angle, F, 603383"
ENSG00000134987,609669,"Glaucoma 1, open angle, G, 609887"
